Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2018,283.2,286.9,285.6,290.2,291.9,292.7,287.0,285.3,291.0,293.7,296.1,297.2
2019,283.9,287.7,286.4,291.1,292.0,291.4,288.1,288.4,294.9,298.6,302.4,300.7
2020,291.3,292.7,289.7,249.4,258.7,268.9,271.7,275.5,283.0,286.1,286.6,285.5
2021,276.5,278.2,280.0,282.9,286.1,287.2,285.3,285.5,289.6,294.1,296.9,294.6
2022,284.9,289.4,290.6,292.5,292.9,295.5,293.4,291.0,298.0,,,
