State_Tribe_Territory,County_Name,FIPS_State,FIPS_County,date,order_code,Face_Masks_Required_in_Public,Source_of_Action,URL,Citation
CT,New Haven County,9,9,5/12/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,5/13/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,5/14/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,5/15/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,5/16/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,5/17/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,5/18/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,5/19/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,5/20/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,5/21/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,5/22/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,5/23/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,5/24/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
