Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2018,9.4,9.6,9.9,10.4,11.0,11.5,11.8,11.7,11.4,11.5,11.3,10.9
2019,10.0,10.0,10.2,11.0,11.4,11.7,11.9,11.8,11.6,11.7,11.5,11.0
2020,10.2,10.2,10.4,9.0,10.3,11.0,11.3,11.5,11.4,11.7,11.6,11.3
2021,10.4,10.2,10.6,11.1,11.3,11.6,11.5,11.6,11.5,11.7,11.5,10.9
2022,10.0,10.1,10.4,11.1,11.3,11.4,11.7,11.8,11.7,,,
