Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2018,81.1,83.5,82.1,84.3,83.3,81.8,80.5,80.1,83.4,84.2,84.4,85.4
2019,82.6,85.2,83.8,85.7,84.3,82.9,82.2,82.1,85.5,86.4,87.3,87.1
2020,85.7,87.3,85.6,78.7,78.5,78.7,78.2,78.6,81.7,83.2,83.5,83.9
2021,81.6,83.3,84.0,84.6,83.7,82.2,81.4,81.7,84.0,85.7,86.2,85.0
2022,82.0,84.2,84.6,85.1,84.4,83.0,82.6,82.6,86.9,,,
