Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2018,35.7,37.1,37.1,37.1,37.0,36.5,32.4,31.7,35.9,36.0,36.5,36.8
2019,35.2,36.5,36.5,36.1,36.3,34.9,32.0,31.7,35.9,36.5,37.0,36.8
2020,35.5,36.3,36.5,34.1,33.9,34.2,31.6,33.4,35.7,35.1,35.2,34.3
2021,34.1,34.4,34.4,33.9,34.6,34.4,32.0,31.5,34.8,35.4,35.9,35.9
2022,35.5,36.0,36.0,35.7,35.4,34.8,32.6,31.3,34.9,,,
