Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2018,12.1,12.1,12.0,12.1,12.1,12.2,12.2,12.2,12.0,11.9,11.9,12.0
2019,11.8,11.9,11.8,11.9,12.0,12.2,12.3,12.2,12.1,12.1,12.1,12.0
2020,12.0,12.0,12.0,11.5,11.6,11.7,11.8,11.8,11.8,11.8,11.8,11.8
2021,11.8,11.8,11.8,11.7,11.7,11.8,11.8,11.8,11.7,11.8,11.7,11.7
2022,11.6,11.8,11.7,11.7,11.7,11.8,11.7,11.8,11.6,,,
