Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2018,23.9,24.2,24.4,25.4,26.3,27.5,27.2,27.0,26.4,26.5,25.7,25.9
2019,24.0,24.7,24.8,25.9,27.1,27.7,27.5,27.3,26.4,26.2,25.8,25.8
2020,24.4,24.8,23.6,10.4,13.2,16.8,19.6,20.3,20.6,20.7,19.6,18.7
2021,17.7,18.4,19.0,20.6,22.3,23.6,24.4,24.7,23.6,23.5,22.4,21.8
2022,19.6,21.3,21.9,23.3,24.0,26.8,27.5,26.5,25.9,,,
