Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2018,23.3,23.3,23.3,23.3,23.5,23.7,23.8,23.8,23.6,23.7,23.8,24.0
2019,23.9,23.9,24.0,24.0,24.1,24.3,24.4,24.2,24.0,24.2,24.2,24.2
2020,24.2,24.2,24.1,22.1,22.8,23.2,23.1,22.8,22.8,22.8,22.7,22.8
2021,22.5,22.5,22.6,22.7,22.7,22.9,23.0,22.9,22.7,22.8,23.0,23.1
2022,23.2,23.2,23.1,23.3,23.2,23.4,23.6,23.6,23.5,,,
