Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2018,52.0,50.7,50.9,50.9,51.5,52.0,51.3,51.1,51.1,52.4,54.9,54.9
2019,51.7,50.2,50.0,50.4,50.6,50.8,50.8,52.2,53.2,55.2,58.3,57.9
2020,54.3,53.1,52.6,45.0,48.6,51.8,53.1,53.4,55.3,56.4,57.7,58.3
2021,55.1,53.9,53.8,53.5,54.6,55.2,55.6,55.3,56.0,56.9,59.8,60.0
2022,57.7,57.4,57.5,57.1,57.2,58.0,57.8,57.7,58.4,,,
