Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2018,30.2,30.9,30.5,31.0,31.3,31.3,31.7,31.8,31.3,31.6,31.6,31.4
2019,29.2,29.7,29.6,30.4,30.5,31.0,31.3,31.2,30.6,30.6,30.7,30.4
2020,29.7,29.6,29.8,27.4,27.8,28.3,29.5,30.1,30.2,30.6,30.7,30.7
2021,29.8,30.2,30.1,30.9,31.2,31.3,31.3,31.6,31.3,32.1,32.0,31.8
2022,31.0,31.1,31.1,30.8,31.2,31.6,31.2,31.0,30.6,,,
